域,信号,口径,形态,K,tilt,gross,te,tw,n,net13,ir13,net20,ir20,net25,ir25
csi1000,对称,原始,exclude,0.1,1.0,0.07058859454991762,0.01681786845707538,0.04290430426324045,484,0.05709090042870218,3.398969840199313,0.04982291128650924,2.9634809544064455,0.04463149047065715,2.6510806192465304
csi1000,对称,原始,exclude,0.2,1.0,0.09281373395060655,0.025841427383419987,0.07553223948290848,484,0.06905129140928354,2.6748223756570138,0.05625613004087884,2.1788937030895466,0.04711672906344691,1.8242097694949708
csi1000,对称,原始,exclude,0.3,1.0,0.11764382745604962,0.03367243187786631,0.10671835395740727,484,0.08407023330104929,2.4975233660903764,0.06599214414066451,1.960032568941703,0.05307922331181823,1.5759881666348947
csi1000,对称,原始,exclude,0.4,1.0,0.14108331786701456,0.04108947722308773,0.13948736238159457,484,0.09720059366176492,2.3646044996700715,0.07357143447432278,1.7888620376942086,0.05669346362614984,1.377807668686609
csi1000,对称,原始,tilt,0.2,1.5,0.1010781859300876,0.029388581996166417,0.09453851324937278,484,0.07133636966183493,2.427028994534731,0.05532154551739118,1.8810750347937337,0.04388238541421706,1.4911709967877476
csi1000,对称,原始,tilt,0.2,2.0,0.10790931057398838,0.0328569717128166,0.11088074028466034,484,0.07302622968043423,2.220833800585791,0.05424303227621277,1.6482248443308978,0.04082646270176889,1.2395820197676493
csi1000,对称,原始,tilt,0.3,1.5,0.1243690889728015,0.03787843140760751,0.12511738686687313,484,0.08500715906448322,2.2432351108979796,0.06381227372923493,1.6830263380088075,0.048673069918343276,1.2830788511191555
csi1000,对称,原始,tilt,0.3,2.0,0.12926162877670513,0.041347756047358165,0.13939725149878512,484,0.08540725345518736,2.0639112154524484,0.061793359051293156,1.4922248514357788,0.04492629161994016,1.0842445755818804
csi1000,对称,原始,topn,0.3,1.0,0.16044089982460719,0.06727002566269301,0.23196378520556452,484,0.0874650929989366,1.2984163087126301,0.04817042778511397,0.7144140233118645,0.020102809775240663,0.2979178226936538
csi1000,对称,原始,topn,0.5,1.0,0.11581841872975929,0.04939116663127255,0.16197422240968906,484,0.06486132835967112,1.3119765691764453,0.03742289508346978,0.7564025889064313,0.017824014171897405,0.3600353143723303
csi1000,对称,中性化,exclude,0.1,1.0,0.05938380687183259,0.010712710391974993,0.04242509542939457,483,0.04603687184974506,4.2688245553783,0.03885006068400563,3.577173552801178,0.03371662413704888,3.084604165314964
csi1000,对称,中性化,exclude,0.2,1.0,0.07291388869893932,0.015675410541182364,0.07463068911479523,483,0.049435073903424734,3.141124320497454,0.03679263516737843,2.3291265254965654,0.027762321784488203,1.7516435548808527
csi1000,对称,中性化,exclude,0.3,1.0,0.08781486949073557,0.02026430492412175,0.10645026267974042,483,0.05432561685168922,2.679886509493895,0.0362929423537412,1.7882439265893484,0.023412460569492605,1.1521510380110063
