feat,gain_down,gain_up,share_down,share_up,下尾偏好,family,agg
corr_length_5m|mean,220180.87273597717,1061.2138948440552,0.14548461586231756,0.0012152924123674245,0.14426932344995014,其他,mean
level_propagation_speed_5m|std,100391.09060382843,675.4744987487793,0.0663334606272119,0.0007735471963432137,0.06555991343086869,其他,std
flow_market_beta_residual_5m|std,74639.91204738617,2421.2227993011475,0.04931835720913105,0.0027727621273504885,0.046545595081780564,其他,std
relative_flow_strength_zscore_5m|std,70479.7543334961,2419.2153186798096,0.04656953103085667,0.0027704631789679432,0.04379906785188872,其他,std
slam_absorption_5m|mean,30493.176838874817,894.840202331543,0.020148381027379498,0.0010247627867091408,0.019123618240670357,其他,mean
attn_sync_swarm_5m|mean,20347.711678504944,523.6017971038818,0.013444760121258165,0.0005996239723338748,0.01284513614892429,羊群/同步,mean
overpay_regret_mag_5m|std,19781.701075553894,984.1379070281982,0.013070768347490084,0.001127025698537693,0.01194374264895239,情绪/行为偏差,std
corr_length_5m|lh,16093.777746200562,576.0902948379517,0.010633971262286325,0.0006597333181902571,0.009974237944096069,其他,lh
slam_absorb_cycle_count_5m|std,15798.717042922974,948.1324996948242,0.010439009762956274,0.0010857926365234816,0.009353217126432792,其他,std
level_propagation_speed_5m|mean,37528.34456062317,14159.073882102966,0.0247968714289633,0.01621484145531107,0.00858202997365223,其他,mean
exit_crush_5m|std,13620.251494407654,1268.536509513855,0.00899958762080188,0.0014527163678438161,0.007546871252958064,其他,std
level_propagation_speed_5m|lh,10877.778405189514,551.4884958267212,0.0071874972292078855,0.0006315595637622393,0.006555937665445646,其他,lh
sell_wall_fill_rate_5m|lh,10267.739042282104,421.8070011138916,0.006784413431461744,0.00048304950625669985,0.0063013639252050445,其他,lh
attn_sync_swarm_5m|lh,11773.879741668701,1525.5107984542847,0.0077795966113722555,0.0017470009649831239,0.006032595646389131,羊群/同步,lh
disposition_effect_proxy_5m|lh,13194.68270778656,2777.4103984832764,0.008718392843638815,0.0031806648967813594,0.005537727946857456,情绪/行为偏差,lh
order_price_range_skew_5m|mean,14075.832466125488,3560.1159076690674,0.009300612963471077,0.004077012062091943,0.005223600901379134,其他,mean
sell_wall_fill_rate_5m|mean,8819.461226463318,541.574296951294,0.005827463179252647,0.000620205914204363,0.005207257265048284,其他,mean
book_column_collapse_sync_5m|std,7212.399109840393,724.8734998703003,0.004765596125141519,0.000830118479034849,0.00393547764610667,羊群/同步,std
order_price_range_skew_5m|std,8302.060153961182,1486.6656064987183,0.00548559017573346,0.0017025158076836209,0.0037830743680498393,其他,std
support_buildup_5m|mean,8634.751928329468,1716.1576232910156,0.005705416423095837,0.0019653279589960204,0.0037400884640998162,其他,mean
order_price_range_pos_mean_5m|lh,7618.926213264465,1271.8884954452515,0.005034209101120553,0.0014565550313673343,0.0035776540697532193,其他,lh
impact_perm_side_asym_5m|std,6249.073517799377,645.3970975875854,0.004129078284300357,0.0007391028325890984,0.0033899754517112586,侵略性/主动,std
reality_detach_flow_divergence_5m|mean,7198.208626747131,1245.0549001693726,0.004756219756721909,0.00142582544434086,0.003330394312381049,其他,mean
corr_length_5m|std,7876.113845825195,1715.0017137527466,0.0052041459510507645,0.001964004222001936,0.0032401417290488285,其他,std
trade_size_tail_5m|std,9225.02243900299,2751.6194953918457,0.0060954379423727,0.0031511293912745027,0.0029443085510981975,大单/分单,std
dominant_actor_share_5m|mean,4620.255781173706,330.4430961608887,0.003052836193976427,0.0003784204008585281,0.002674415793117899,其他,mean
sunk_wait_hazard_slope_5m|mean,7392.583029747009,1988.201418876648,0.00488465273549302,0.0022768700168348285,0.002607782718658192,其他,mean
open_anchor_sell_pressure_5m|lh,5082.801507949829,657.176700592041,0.0033584635018465044,0.0007525927258345305,0.002605870776011974,情绪/行为偏差,lh
relative_flow_strength_zscore_5m|lh,5830.219289779663,1460.97119140625,0.0038523201549108617,0.0016730907993475921,0.0021792293555632693,其他,lh
humble_buildup_vs_display_5m|lh,7158.642805099487,2321.9547023773193,0.004730076621343447,0.0026590812138533935,0.0020709954074900534,情绪/行为偏差,lh
order_price_range_pos_mean_5m|mean,11128.312106132507,4787.040238380432,0.007353037490672661,0.005482074544695052,0.001870962945977609,其他,mean
phantom_wall_repulsion_5m|lh,6591.782890319824,2187.0534992218018,0.004355523664382668,0.002504593594146691,0.001850930070235977,其他,lh
small_order_arrival_share_5m|lh,3938.4435815811157,763.641001701355,0.0026023284604235943,0.0008745146663168147,0.0017278137941067796,侵略性/主动,lh
downlimit_buy_support_5m|lh,10789.109725952148,4843.463916778564,0.0071289093574387705,0.005546690423330137,0.0015822189341086331,涨跌停/封板,lh
downlimit_buy_support_5m|std,7275.989101409912,2919.944311141968,0.004807613242165453,0.0033438934253567447,0.0014637198168087084,涨跌停/封板,std
red_queen_queue_arms_race_5m|mean,3213.117162704468,645.7403984069824,0.002123068685885435,0.0007394959775365965,0.0013835727083488384,队列/排队,mean
di_persistence_5m|std,3146.6747665405273,650.9989948272705,0.002079166841175818,0.0007455180738927866,0.0013336487672830316,其他,std
exploratory_spread_width_5m|lh,4249.458915710449,1301.807804107666,0.002807831989639568,0.0014908183490428483,0.0013170136405967197,流动性/枯竭,lh
passive_buy_depth_dist_5m|std,3462.9120922088623,861.5287981033325,0.002288120803772528,0.0009866148723249278,0.0013015059314476001,流动性/枯竭,std
passive_buy_poison_asym_5m|std,2283.7294206619263,276.58220291137695,0.0015089752954920719,0.00031673940025394947,0.0011922358952381224,其他,std
downlimit_buy_support_5m|mean,7219.326510429382,3131.59579372406,0.004770173408359131,0.0035862747606351815,0.0011838986477239496,涨跌停/封板,mean
disposition_effect_proxy_5m|std,2898.442808151245,646.197998046875,0.0019151474571927217,0.0007400200164442714,0.0011751274407484503,情绪/行为偏差,std
soc_avalanche_5m|mean,2518.817207336426,456.43130111694336,0.0016643096617940613,0.0005227009368322726,0.0011416087249617886,其他,mean
order_footprint_persistence_5m|std,3365.543821334839,950.3807878494263,0.0022237846727123536,0.0010883673554829474,0.0011354173172294063,其他,std
child_size_quantization_5m|mean,5965.966576576233,2452.632899284363,0.003942015238904976,0.0028087326855638383,0.0011332825533411374,大单/分单,mean
disposition_effect_proxy_5m|mean,2713.4609050750732,595.8807010650635,0.0017929205771912602,0.0006823971097617125,0.0011105234674295477,情绪/行为偏差,mean
perishable_opportunity_urgency_5m|std,2612.8104963302612,549.0309982299805,0.0017264157719796694,0.0006287452600697975,0.001097670511909872,其他,std
order_lifetime_tail_5m|mean,7364.693644523621,3355.318392753601,0.004866224811007834,0.0038424798276784043,0.00102374498332943,大单/分单,mean
humble_buildup_vs_display_5m|mean,4525.952899932861,1720.9025917053223,0.002990525520567091,0.0019707618532739286,0.0010197636672931625,情绪/行为偏差,mean
red_queen_queue_arms_race_5m|std,2721.3780431747437,690.5166959762573,0.0017981518299374543,0.0007907733825481867,0.0010073784473892675,队列/排队,std
passive_buy_poison_asym_5m|lh,2983.0189237594604,852.688907623291,0.001971031165607043,0.0009764915108812556,0.0009945396547257875,其他,lh
humble_buildup_vs_display_5m|std,2929.9654989242554,838.3562984466553,0.0019359760900393053,0.0009600779383993831,0.0009758981516399222,情绪/行为偏差,std
downlimit_capitulation_vs_defense_5m|mean,2461.3319816589355,575.8124008178711,0.0016263262717224052,0.0006594150765090211,0.0009669111952133841,涨跌停/封板,mean
sacrificial_dump_capitulation_5m|mean,2127.7972955703735,395.66149711608887,0.0014059430700419425,0.0004531079150464556,0.0009528351549954869,其他,mean
exploratory_spread_width_5m|mean,12470.523058891296,6367.413291931152,0.008239904012918036,0.007291903260679176,0.0009480007522388598,流动性/枯竭,mean
overpay_regret_mag_5m|mean,2979.820008277893,908.5950002670288,0.00196891748068869,0.0010405146550609018,0.0009284028256277882,情绪/行为偏差,mean
lemon_sell_into_strength_5m|mean,1748.1601123809814,253.4237003326416,0.001155097621583802,0.0002902184956535962,0.0008648791259302058,其他,mean
di_persistence_5m|mean,1895.6628093719482,345.7436990737915,0.0012525600984271876,0.0003959425108827567,0.0008566175875444309,其他,mean
passive_buy_depth_dist_5m|mean,2674.711901664734,806.1676006317139,0.0017673171548496622,0.0009232157370952486,0.0008441014177544136,流动性/枯竭,mean
l1_replenish_amt_5m|lh,2480.354597091675,751.8307952880859,0.0016388954738721633,0.0008609897263284931,0.0007779057475436703,其他,lh
liq_percolation_5m|mean,2746.9051990509033,911.8921041488647,0.001815018910263518,0.0010442904681649803,0.0007707284420985377,其他,mean
fill_frag_5m|mean,2357.6221113204956,696.275595664978,0.0015577999258149147,0.0007973684216155143,0.0007604315041994003,其他,mean
queue_position_at_fill_skew_5m|std,2224.460310935974,679.0410003662109,0.0014698132031911598,0.0007776315212615166,0.0006921816819296432,队列/排队,std
impact_perm_side_asym_5m|lh,3971.4780139923096,1695.9670944213867,0.0026241559772730494,0.0019422059506467504,0.000681950026626299,侵略性/主动,lh
size_distribution_regime_shift_5m|mean,1951.127305984497,566.8926019668579,0.0012892082908128606,0.0006492002047323253,0.0006400080860805352,大单/分单,mean
fluct_dissip_5m|std,1841.4936933517456,589.573902130127,0.0012167678293809546,0.0006751746215063343,0.0005415932078746203,其他,std
interarrival_tail_dispersion_5m|mean,2771.2731971740723,1138.9666996002197,0.0018311200765557146,0.0013043342107452512,0.0005267858658104634,侵略性/主动,mean
dominant_actor_share_5m|lh,1646.5874004364014,492.7870035171509,0.0010879834040964783,0.0005643351535419521,0.0005236482505545263,其他,lh
distance_to_board_order_gradient_5m|mean,4022.295118331909,1864.9429054260254,0.0026577334030149628,0.0021357154985195154,0.0005220179044954473,涨跌停/封板,mean
phantom_wall_repulsion_5m|std,2760.2265272140503,1136.9497957229614,0.0018238209841517222,0.0013020244709365141,0.0005217965132152081,其他,std
order_price_range_skew_5m|lh,1647.3184928894043,510.86630058288574,0.0010884664737807943,0.0005850393986066597,0.0005034270751741346,其他,lh
cancel_timed_adverse_avoidance_5m|mean,2271.282796859741,903.1844034194946,0.0015007511829243328,0.0010343184892105163,0.00046643269371381656,撤单/犹豫,mean
slam_absorb_cycle_count_5m|lh,1613.959701538086,541.5424957275391,0.0010664246366081471,0.0006201694957347962,0.00044625514087335096,其他,lh
child_size_quantization_5m|std,2867.5635166168213,1268.1206970214844,0.0018947439506975267,0.0014522401831939535,0.0004425037675035732,大单/分单,std
queue_position_adverse_fill_5m|mean,1772.9707984924316,672.8795013427734,0.0011714912941737602,0.0007705754291311989,0.0004009158650425613,队列/排队,mean
frame_break_withdrawal_5m|mean,2135.2367973327637,881.9306993484497,0.001410858724352234,0.001009978942378594,0.0004008797819736402,撤单/犹豫,mean
iceberg_reload_rate_5m|std,3832.004508972168,1869.0019083023071,0.0025319987928242534,0.0021403638313591904,0.000391634961465063,其他,std
cancel_timed_adverse_avoidance_5m|std,1856.3034114837646,734.5894975662231,0.001226553357645481,0.0008412451504210822,0.0003853082072243988,撤单/犹豫,std
size_markout_slope_5m|std,1463.6989994049072,545.3020057678223,0.0009671398065618012,0.0006244748521274833,0.00034266495443431783,大单/分单,std
feint_cross_side_divergence_5m|std,938.2397003173828,243.29739665985107,0.000619942326012711,0.0002786219456285146,0.0003413203803841964,其他,std
size_distribution_regime_shift_5m|lh,1097.7146949768066,336.5955991744995,0.0007253155042064969,0.00038546619084095925,0.00033984931336553765,大单/分单,lh
sticker_anchor_entry_gate_5m|lh,6718.04780960083,3579.5553121566772,0.004438953269553281,0.004099273889692877,0.00033967937986040427,情绪/行为偏差,lh
child_size_quantization_5m|lh,4046.1440811157227,2040.4116878509521,0.0026734916164610433,0.0023366607376691596,0.00033683087879188365,大单/分单,lh
liq_percolation_5m|std,1571.771806716919,614.6400995254517,0.0010385489651393673,0.0007038802007014868,0.0003346687644378805,其他,std
size_ladder_geometry_5m|lh,1295.1571025848389,459.7132987976074,0.0008557756684743993,0.0005264594504534165,0.00032931621802098285,大单/分单,lh
vulnerable_fraction_5m|lh,1249.244701385498,446.9070987701416,0.0008254390276535944,0.0005117939077195214,0.00031364511993407307,其他,lh
rejection_cascade_sell_followthrough_5m|std,6829.161199569702,3687.7406873703003,0.004512371494560343,0.004223166788443095,0.0002892047061172475,其他,std
burst_homog_5m|mean,2099.7662954330444,971.3917074203491,0.0013874215734353504,0.0011124288677336485,0.0002749927057017019,其他,mean
burst_homog_5m|lh,1063.787208557129,381.7278995513916,0.0007028979014982928,0.0004371512870003762,0.00026574661449791655,其他,lh
soc_avalanche_5m|lh,952.0773983001709,318.6278009414673,0.0006290855915036183,0.0003648896332161067,0.00026419595828751157,其他,lh
loud_tape_quiet_book_divergence_5m|std,811.7262964248657,254.28759860992432,0.0005363485345174445,0.0002912078240317299,0.0002451407104857146,其他,std
schelling_anchor_convergence_5m|mean,932.6094999313354,331.2610969543457,0.0006162221684431015,0.00037935716785943976,0.00023686500058366176,情绪/行为偏差,mean
group_polarization_drift_5m|std,723.4124011993408,214.78050231933594,0.0004779950864520574,0.00024596465996283426,0.00023203042648922316,其他,std
cancel_reprice_chase_skew_5m|lh,975.1065101623535,361.8804988861084,0.0006443020880652313,0.00041442222592143196,0.00022987986214379938,撤单/犹豫,lh
book_near_far_ratio_5m|mean,1352.914701461792,580.5570974349976,0.000893939029266503,0.0006648486595272933,0.00022909036973920967,其他,mean
third_party_spoof_punishment_5m|std,1077.2049112319946,437.3740997314453,0.0007117636548907248,0.0005008768047159502,0.00021088685017477463,其他,std
fill_frag_5m|std,2762.079683303833,1413.9243125915527,0.0018250454579150641,0.0016192131455335388,0.00020583231238152535,其他,std
range_pressure_asym_5m|lh,1280.1186180114746,561.5158948898315,0.000845838982675489,0.000643042849136079,0.00020279613353940999,其他,lh
hysteresis_loop_5m|mean,1295.307806968689,571.6171026229858,0.0008558752464673501,0.0006546106595214241,0.00020126458694592593,其他,mean
price_level_occupancy_5m|std,1456.438102722168,664.7314023971558,0.000962342165642415,0.0007612443010033644,0.00020109786463905059,队列/排队,std
resistance_absorption_break_5m|lh,2662.819797515869,1366.8050060272217,0.0017594594414052848,0.0015652525481253594,0.00019420689327992544,其他,lh
cancel_size_asymmetry_5m|std,1025.1576957702637,427.04350185394287,0.000677373432642705,0.0004890462988426808,0.0001883271338000242,撤单/犹豫,std
book_hesitation_5m|lh,1125.6831016540527,488.8009948730469,0.0007437956421547164,0.0005597704130270133,0.00018402522912770313,撤单/犹豫,lh
limit_lock_t1_overhang_5m|mean,453.2924003601074,104.0250015258789,0.00029951316806149826,0.0001191284769876556,0.00018038469107384264,涨跌停/封板,mean
supernormal_stimulus_overresponse_5m|std,791.6186981201172,306.6044044494629,0.0005230624294215311,0.00035112054990631337,0.00017194187951521776,其他,std
queue_position_at_fill_skew_5m|mean,1381.2327041625977,656.6365003585815,0.0009126501629527381,0.0007519740934852255,0.00016067606946751258,队列/排队,mean
flow_market_beta_residual_5m|lh,1588.0845909118652,799.9375953674316,0.0010493276450163084,0.0009160811922466779,0.00013324645276963055,其他,lh
trade_to_order_rhythm_lag_5m|mean,1272.6118059158325,620.6312074661255,0.0008408788530306461,0.0007107411625277029,0.00013013769050294324,其他,mean
fluct_dissip_5m|mean,1323.0055990219116,654.8253955841064,0.0008741765756746761,0.0007499000329201351,0.00012427654275454095,其他,mean
