feat,gain_down,gain_up,share_down,share_up,下尾偏好,family,agg
level_propagation_speed_5m|std,276398.6025123596,1234.739990234375,0.12185165343274333,0.0011852094348098812,0.12066644399793346,其他,std
corr_length_5m|mean,218507.19345283508,2894.3622245788574,0.09632994728323802,0.0027782573201318474,0.09355168996310617,其他,mean
slam_absorption_5m|mean,169401.66052246094,830.4028005599976,0.07468153688653731,0.000797091891167661,0.07388444499536964,其他,mean
relative_flow_strength_zscore_5m|std,139351.0824432373,3080.5741777420044,0.061433594992911365,0.0029569995375289247,0.05847659545538244,其他,std
flow_market_beta_residual_5m|std,102438.42583274841,2733.0716037750244,0.045160472771238684,0.0026234367368228387,0.042537036034415845,其他,std
attn_sync_swarm_5m|mean,54506.72186279297,683.9744005203247,0.024029550518016772,0.0006565373431464266,0.023373013174870345,羊群/同步,mean
level_propagation_speed_5m|lh,24328.255058288574,405.25540351867676,0.01072522826468851,0.0003889989241110184,0.010336229340577492,其他,lh
overpay_regret_mag_5m|std,24261.836114883423,849.4976978302002,0.010695947154004126,0.0008154208127060926,0.009880526341298034,情绪/行为偏差,std
corr_length_5m|std,26384.5807762146,1871.7525987625122,0.011631769348644804,0.0017966688187220285,0.009835100529922775,其他,std
corr_length_5m|lh,21478.323957443237,543.8010997772217,0.009468822430321551,0.0005219869763784131,0.008946835453943138,其他,lh
order_price_range_skew_5m|mean,22994.538972854614,2612.0024013519287,0.01013725311306774,0.002507224123550693,0.007630028989517047,其他,mean
support_buildup_5m|mean,17790.663822174072,263.722599029541,0.007843099721537348,0.0002531435889454465,0.007589956132591902,其他,mean
burst_homog_5m|mean,15610.330722808838,517.9832992553711,0.006881889386981074,0.0004972048351935889,0.006384684551787485,其他,mean
slam_absorb_cycle_count_5m|std,16194.142667770386,1336.4656047821045,0.007139265691132862,0.0012828544119527345,0.0058564112791801275,其他,std
attn_sync_swarm_5m|lh,20521.508029937744,3557.67440700531,0.009047005526264973,0.0034149612926717967,0.005632044233593176,羊群/同步,lh
book_column_collapse_sync_5m|std,13644.792953491211,549.9414024353027,0.006015372606871273,0.0005278809659636734,0.005487491640907599,羊群/同步,std
disposition_effect_proxy_5m|lh,19735.973161697388,3690.6671018600464,0.008700698701070807,0.0035426190975127213,0.005158079603558086,情绪/行为偏差,lh
trade_size_tail_5m|std,16831.624395370483,2913.906005859375,0.007420302577119868,0.002797017119076347,0.004623285458043521,大单/分单,std
reality_detach_flow_divergence_5m|mean,12289.393165588379,1634.0627965927124,0.005417838090715517,0.0015685137429021655,0.0038493243478133514,其他,mean
order_price_range_pos_mean_5m|mean,17093.739366531372,3851.520915031433,0.007535857222965091,0.0036970203953597975,0.0038388368276052933,其他,mean
impact_perm_side_asym_5m|std,10718.974449157715,1171.9430952072144,0.004725511445647744,0.0011249315843704305,0.003600579861277314,侵略性/主动,std
exit_crush_5m|std,9796.72289466858,859.3845090866089,0.0043189324116948,0.0008249110228507044,0.0034940213888440957,其他,std
order_price_range_pos_mean_5m|lh,11850.109655380249,1877.2343978881836,0.005224177842226357,0.0018019307200898176,0.0034222471221365394,其他,lh
order_price_range_skew_5m|std,10599.26912689209,1947.3431854248047,0.004672738778527933,0.0018692271526251501,0.002803511625902783,其他,std
passive_buy_poison_asym_5m|std,6509.018255233765,349.2677974700928,0.0028695320070899347,0.0003352572137541644,0.0025342747933357703,其他,std
exploratory_spread_width_5m|lh,8908.434818267822,1509.8252897262573,0.003927326340426103,0.001449259919052636,0.0024780664213734675,流动性/枯竭,lh
sunk_wait_hazard_slope_5m|mean,7482.371814727783,1116.7906045913696,0.003298639605756931,0.0010719914894936503,0.0022266481162632806,其他,mean
relative_flow_strength_zscore_5m|lh,8241.641901016235,1490.0170993804932,0.0036333674754903986,0.0014302463175899884,0.0022031211579004104,其他,lh
di_persistence_5m|std,6664.84316444397,913.3892040252686,0.002938228167854429,0.0008767493649077874,0.0020614788029466417,其他,std
open_anchor_sell_pressure_5m|lh,7729.715814590454,1539.9214010238647,0.0034076823978549373,0.0014781487501775124,0.001929533647677425,情绪/行为偏差,lh
child_size_quantization_5m|mean,10210.435092926025,2863.821921348572,0.004501319424308985,0.002748942115459795,0.00175237730884919,大单/分单,mean
humble_buildup_vs_display_5m|mean,7462.7181758880615,1639.7938985824585,0.0032899752045377427,0.0015740149465594759,0.0017159602579782669,情绪/行为偏差,mean
interarrival_tail_dispersion_5m|mean,6206.543998718262,1260.7902917861938,0.002736184776162435,0.0012102147504415533,0.0015259700257208818,侵略性/主动,mean
sell_wall_fill_rate_5m|lh,4064.430305480957,418.3195991516113,0.0017918236506382424,0.0004015390605323042,0.0013902845901059382,其他,lh
